,concept,language,word,ID,cc
0,louse,ALBANIAN_GHEG,mor,0,louse:0
1,louse,ALBANIAN,morr,1,louse:0
2,louse,ALBANIAN_TOSK,mor,2,louse:0
3,louse,ARAGONESE,pegoLo,3,louse:1
4,louse,ASTURIAN,pioyu,4,louse:2
5,louse,CATALAN,poL,5,louse:3
6,louse,CATALAN_2,poL,6,louse:3
7,louse,CORSICAN,pidoTu,7,louse:2
8,louse,DALMATIAN,pedoklo,8,louse:4
9,louse,EMILIANO_CARPIGIANO,pyoC,9,louse:5
10,louse,EMILIANO_FERRARESE,vdoC,10,louse:6
11,louse,EMILIANO_REGGIANO,pyoC,11,louse:5
12,louse,FRENCH,pu,12,louse:7
13,louse,FRIULIAN,pEdoli,13,louse:8
14,louse,GALICIAN,pioLo,14,louse:9
15,louse,GASCON,pedui,15,louse:10
16,louse,ITALIAN,pidokko,16,louse:4
17,louse,ITALIAN_GROSSETO_TUSCAN,pidokyo,17,louse:4
18,louse,JUDEO_ESPAGNOL,pioxo,18,louse:9
19,louse,LANGUEDOCIEN,pezul,19,louse:11
20,louse,LIGURIAN_GENOESE,pigEju,20,louse:12
21,louse,LIGURIAN_RAPALLO,pigEju,21,louse:12
22,louse,LIGURIAN_STELLA,pyEju,22,louse:12
23,louse,LOMBARD_BERGAMO,pyoC,23,louse:5
24,louse,LOMBARD_PLESIO,pyoC,24,louse:5
25,louse,NEAPOLITAN_CALABRESE,p3ruky3,25,louse:13
26,louse,NONES,piocEl,26,louse:14
27,louse,NONES_FASSANO,poye,27,louse:15
28,louse,NONES_GARDENESE,podl,28,louse:16
29,louse,PIEMONTESE_BARBANIA,puy,29,louse:17
30,louse,PIEMONTESE_CARMAGNOLA,puy,30,louse:17
31,louse,PIEMONTESE_LANZO_TORINESE,puy,31,louse:17
32,louse,PIEMONTESE_VERCELLESE,pyoC,32,louse:5
33,louse,PORTUGUESE,pioLu,33,louse:2
34,louse,ROMAGNOL_RAVENNATE,bdoC,34,louse:6
35,louse,ROMANIAN,p3duke,35,louse:18
36,louse,ROMANIAN_2,paduke,36,louse:18
37,louse,ROMANIAN_MEGLENO,pidukLu,37,louse:2
38,louse,ROMANSH_GRISHUN,pluL,38,louse:19
39,louse,ROMANSH_SURMIRAN,pluL,39,louse:19
40,louse,ROMANSH_SURSILVAN,pluL,40,louse:19
41,louse,ROMANSH_VALLADER,plwoL,41,louse:20
42,louse,SARDINIAN,priogu,42,louse:2
43,louse,SARDINIAN_CAMPIDANESE,prioxu,43,louse:2
44,louse,SARDINIAN_LOGUDARESE,preuku,44,louse:21
45,louse,SPANISH,pioho,45,louse:9
46,liver,ALBANIAN_GHEG,m3lCi,46,liver:0
47,liver,ALBANIAN,m3lCi,47,liver:0
48,liver,ALBANIAN_TOSK,m3lCi,48,liver:0
49,liver,ARAGONESE,figado,49,liver:1
50,liver,CATALAN,fej3,50,liver:2
51,liver,CATALAN_2,fej3,51,liver:2
52,liver,CORSICAN,fegatu,52,liver:3
53,liver,DALMATIAN,figuot,53,liver:3
54,liver,EMILIANO_CARPIGIANO,fedeg,54,liver:4
55,liver,EMILIANO_FERRARESE,fEgat,55,liver:3
56,liver,EMILIANO_REGGIANO,fedeg,56,liver:4
57,liver,FRENCH,fa,57,liver:5
58,liver,FRIULIAN,fiat,58,liver:3
59,liver,GALICIAN,figado,59,liver:1
60,liver,GASCON,hiCe,60,liver:6
61,liver,ITALIAN,fegato,61,liver:3
62,liver,ITALIAN_GROSSETO_TUSCAN,fegato,62,liver:3
63,liver,JUDEO_ESPAGNOL,igado,63,liver:1
64,liver,LANGUEDOCIEN,feje,64,liver:2
65,liver,LIGURIAN_GENOESE,fegatu,65,liver:3
66,liver,LIGURIAN_RAPALLO,figEtu,66,liver:3
