Latin,reconstruction_socher_original,reconstruction_socher_dialign,reconstruction_socher_sw,reconstruction_original_dialign,reconstruction_original_sw,reconstruction_original,reconstruction_weighted_PW,reconstruction_weighted_SW
ego,yo,yo,yo,iy3,iy3,iy3,iy3,iy3
saNgw~is,saNg,saNg,saNg,saNg3,saNg3,saNg,saNg3,saNg3
os,os,os,os,wos3,os,os,wos3,os
"pektus, mama",pet,pet,pet,pet,pet,pet,pet,pet
wenire,veni,veni,veni,venir,veni,venir,venir,veni
mori,mori,muri,muri,muri,muri,murir,muri,muri
kanis,kan,kan,kan,kan3,kan3,kan,kan3,kan3
bibere,bEr3,bEb3,bEr3,vEb3r3,bEb3r,beb3r,vEb3r3,bEb3r
auris,ureLa,ureLa,ureLa,urekL3,reky3,oreL3,urekL3,reky3
okulus,oLu,oL,oL,woky3,woky3,okyu,woky3,woky3
iNnis,fok,fok,fok,fok3,fok,fok,fok3,fok
piskis,peS,peS,peS,peS3,peS3,peS,peS3,peS3
plenus,plen,plen,plen,kin3,plen,plen,kin3,plen
manus,man,man,man,man3,man3,man,man3,man3
audire,sentir,sentir,sentir,sentir,sentir,sentir,sentir,sentir
kornu,korn,korn3,korn3,korn3,korn3,korn3,korn3,korn3
genu,Zinuy,ZnoL,ZnoL,d3nuky3,d3nuky,Z3nuL,d3nuky3,d3nuky
foly~u*,foLa,foLa,foLa,foya,foLa,foLa,foya,foLa
yekur,figat,figat,figat,fEgat3,figat3,figat,fEgat3,figat3
pedikulus,pidolo,pidoko,pidoko,p3ruky3,p3duky3,pidoko,p3ruky3,p3duky3
mons,munta53,munta53,munta53,munta53,munta53,munta5a,munta53,munta53
nomen,nom,nom,nom,nom3,nom3,nom,nom3,nom3
nowus,nov,nof,nof,nwov3,nov,novo,nwov3,nov
noks,not,not,not,not3,not3,note,not3,not3
nasus,nas,nas,nas,nas3,nas,nas,nas3,nas
unus,un,un,un,un3,unu,unu,un3,unu
viya,strada,strada,strada,strada,strada,strada,strada,strada
"persona, homo",om,om,om,kr3styan,persona,persona,kr3styan,persona
widere,veda,vedEr,vedEr,v3rE,veder,veder,v3rE,veder
kutis,pel,pel,pel,pEl3,pEl,pel,pEl3,pEl
stela,stela,stela,stela,stel3,stel3,stela,stel3,stel3
lapis,petra,petra,petra,petra,pEtra,pEtra,petra,pEtra
sol,sol,sol,sol,sol3,sol3,sol,sol3,sol3
liNgw~E,liNga,leNga,leNga,leNgwa,leNga,liNga,leNgwa,leNga
dens,dint,dEnt,dEnt,dEnte,dEnte,dEnt,dEnte,dEnte
arbor,arbur,arbur,arbur,ab3r3,arbur,arbur,ab3r3,arbur
duo,doe,doe,dos,doye,doe,dos,doye,doe
akw~a,akwa,aka,aka,akwa,akwa,akwa,akwa,akwa
nos,noi,noy,nos,nuy3,noi,nos,nuy3,noi
tu,tu,tu,tu,tu,tu,tu,tu,tu
