concept,Latin,reconstruction
I,ego,yo
blood,saNgw~is,saNg
bone,os,os
breast,"pektus, mama",pet
come,wenire,veni
die,mori,mori
dog,kanis,kan
drink,bibere,bEr3
ear,auris,ureLa
eye,okulus,oLu
fire,iNnis,fok
fish,piskis,peS
full,plenus,plen
hand,manus,man
hear,audire,sentir
horn,kornu,korn
knee,genu,Zinuy
leaf,foly~u*,foLa
liver,yekur,figat
louse,pedikulus,pidolo
mountain,mons,munta53
name,nomen,nom
new,nowus,nov
night,noks,not
nose,nasus,nas
one,unus,un
path,viya,strada
person,"persona, homo",om
see,widere,veda
skin,kutis,pel
star,stela,stela
stone,lapis,petra
sun,sol,sol
tongue,liNgw~E,liNga
tooth,dens,dint
tree,arbor,arbur
two,duo,doe
water,akw~a,akwa
we,nos,noi
you,tu,tu
