concept,Latin,reconstruction
I,ego,iy3
blood,saNgw~is,saNg3
bone,os,wos3
breast,"pektus, mama",pet
come,wenire,venir
die,mori,muri
dog,kanis,kan3
drink,bibere,vEb3r3
ear,auris,urekL3
eye,okulus,woky3
fire,iNnis,fok3
fish,piskis,peS3
full,plenus,kin3
hand,manus,man3
hear,audire,sentir
horn,kornu,korn3
knee,genu,d3nuky3
leaf,foly~u*,foya
liver,yekur,fEgat3
louse,pedikulus,p3ruky3
mountain,mons,munta53
name,nomen,nom3
new,nowus,nwov3
night,noks,not3
nose,nasus,nas3
one,unus,un3
path,viya,strada
person,"persona, homo",kr3styan
see,widere,v3rE
skin,kutis,pEl3
star,stela,stel3
stone,lapis,petra
sun,sol,sol3
tongue,liNgw~E,leNgwa
tooth,dens,dEnte
tree,arbor,ab3r3
two,duo,doye
water,akw~a,akwa
we,nos,nuy3
you,tu,tu
