concept,Latin,reconstruction
I,ego,iy3
blood,saNgw~is,saNg3
bone,os,os
breast,"pektus, mama",pet
come,wenire,veni
die,mori,muri
dog,kanis,kan3
drink,bibere,bEb3r
ear,auris,reky3
eye,okulus,woky3
fire,iNnis,fok
fish,piskis,peS3
full,plenus,plen
hand,manus,man3
hear,audire,sentir
horn,kornu,korn3
knee,genu,d3nuky
leaf,foly~u*,foLa
liver,yekur,figat3
louse,pedikulus,p3duky3
mountain,mons,munta53
name,nomen,nom3
new,nowus,nov
night,noks,not3
nose,nasus,nas
one,unus,unu
path,viya,strada
person,"persona, homo",persona
see,widere,veder
skin,kutis,pEl
star,stela,stel3
stone,lapis,pEtra
sun,sol,sol3
tongue,liNgw~E,leNga
tooth,dens,dEnte
tree,arbor,arbur
two,duo,doe
water,akw~a,akwa
we,nos,noi
you,tu,tu
