,socher_original,socher_dialign,socher_SW,original_dialign,original_sw,original,weighted_PW,weighted_SW
ARAGONESE,0.6249424921483745,0.6249424921483745,0.6249424921483745,0.6249424921483745,0.6249424921483745,0.6249424921483745,0.6249424921483745,0.6249424921483745
ARPITAN,0.7901317432567433,0.7901317432567433,0.7901317432567433,0.7901317432567433,0.7901317432567433,0.7901317432567433,0.7901317432567433,0.7901317432567433
ASTURIAN,0.6174242424242424,0.6174242424242424,0.6174242424242424,0.6174242424242424,0.6174242424242424,0.6174242424242424,0.6174242424242424,0.6174242424242424
BALEAR_CATALAN,0.6642316017316018,0.6642316017316018,0.6642316017316018,0.6642316017316018,0.6642316017316018,0.6642316017316018,0.6642316017316018,0.6642316017316018
CATALAN,0.6297077922077923,0.6297077922077923,0.6297077922077923,0.6297077922077923,0.6297077922077923,0.6297077922077923,0.6297077922077923,0.6297077922077923
CATALAN_2,0.6591125541125541,0.6591125541125541,0.6591125541125541,0.6591125541125541,0.6591125541125541,0.6591125541125541,0.6591125541125541,0.6591125541125541
CORSICAN,0.6065259740259741,0.6065259740259741,0.6065259740259741,0.6065259740259741,0.6065259740259741,0.6065259740259741,0.6065259740259741,0.6065259740259741
DALMATIAN,0.7159956709956711,0.7159956709956711,0.7159956709956711,0.7159956709956711,0.7159956709956711,0.7159956709956711,0.7159956709956711,0.7159956709956711
EMILIANO_CARPIGIANO,0.6129148629148629,0.6129148629148629,0.6129148629148629,0.6129148629148629,0.6129148629148629,0.6129148629148629,0.6129148629148629,0.6129148629148629
EMILIANO_FERRARESE,0.5847204184704184,0.5847204184704184,0.5847204184704184,0.5847204184704184,0.5847204184704184,0.5847204184704184,0.5847204184704184,0.5847204184704184
EMILIANO_REGGIANO,0.6352958152958154,0.6352958152958154,0.6352958152958154,0.6352958152958154,0.6352958152958154,0.6352958152958154,0.6352958152958154,0.6352958152958154
FRENCH,0.7235894660894661,0.7235894660894661,0.7235894660894661,0.7235894660894661,0.7235894660894661,0.7235894660894661,0.7235894660894661,0.7235894660894661
FRIULIAN,0.6737608225108225,0.6737608225108225,0.6737608225108225,0.6737608225108225,0.6737608225108225,0.6737608225108225,0.6737608225108225,0.6737608225108225
GALICIAN,0.5826370851370851,0.5826370851370851,0.5826370851370851,0.5826370851370851,0.5826370851370851,0.5826370851370851,0.5826370851370851,0.5826370851370851
GASCON,0.6612184343434343,0.6612184343434343,0.6612184343434343,0.6612184343434343,0.6612184343434343,0.6612184343434343,0.6612184343434343,0.6612184343434343
ITALIAN,0.5461444805194805,0.5461444805194805,0.5461444805194805,0.5461444805194805,0.5461444805194805,0.5461444805194805,0.5461444805194805,0.5461444805194805
ITALIAN_GROSSETO_TUSCAN,0.5561625874125874,0.5561625874125874,0.5561625874125874,0.5561625874125874,0.5561625874125874,0.5561625874125874,0.5561625874125874,0.5561625874125874
JUDEO_ESPAGNOL,0.6771247849372849,0.6771247849372849,0.6771247849372849,0.6771247849372849,0.6771247849372849,0.6771247849372849,0.6771247849372849,0.6771247849372849
LANGUEDOCIEN,0.6355898268398269,0.6355898268398269,0.6355898268398269,0.6355898268398269,0.6355898268398269,0.6355898268398269,0.6355898268398269,0.6355898268398269
