ID,Gloss,Language,Word,Cluster
0,louse,ALBANIAN_GHEG,mor,louse:0
1,louse,ALBANIAN,morr,louse:0
2,louse,ALBANIAN_TOSK,mor,louse:0
3,louse,ARAGONESE,pegoLo,louse:1
4,louse,ASTURIAN,pioyu,louse:1
5,louse,CORSICAN,pidoTu,louse:1
6,louse,DALMATIAN,pedoklo,louse:1
7,louse,FRIULIAN,pEdoli,louse:1
8,louse,GALICIAN,pioLo,louse:1
9,louse,ITALIAN,pidokko,louse:1
10,louse,ITALIAN_GROSSETO_TUSCAN,pidokyo,louse:1
11,louse,JUDEO_ESPAGNOL,pioxo,louse:1
12,louse,NONES,piocEl,louse:1
13,louse,PORTUGUESE,pioLu,louse:1
14,louse,ROMANIAN_MEGLENO,pidukLu,louse:1
15,louse,SARDINIAN,priogu,louse:1
16,louse,SARDINIAN_CAMPIDANESE,prioxu,louse:1
17,louse,SARDINIAN_LOGUDARESE,preuku,louse:1
18,louse,SPANISH,pioho,louse:1
19,louse,CATALAN,poL,louse:2
20,louse,CATALAN_2,poL,louse:2
21,louse,NONES_FASSANO,poye,louse:2
22,louse,NONES_GARDENESE,podl,louse:2
23,louse,EMILIANO_CARPIGIANO,pyoC,louse:3
24,louse,EMILIANO_FERRARESE,vdoC,louse:3
25,louse,EMILIANO_REGGIANO,pyoC,louse:3
26,louse,LOMBARD_BERGAMO,pyoC,louse:3
27,louse,LOMBARD_PLESIO,pyoC,louse:3
28,louse,PIEMONTESE_VERCELLESE,pyoC,louse:3
29,louse,ROMAGNOL_RAVENNATE,bdoC,louse:3
30,louse,FRENCH,pu,louse:4
31,louse,PIEMONTESE_BARBANIA,puy,louse:4
32,louse,PIEMONTESE_CARMAGNOLA,puy,louse:4
33,louse,PIEMONTESE_LANZO_TORINESE,puy,louse:4
34,louse,GASCON,pedui,louse:5
35,louse,LANGUEDOCIEN,pezul,louse:5
36,louse,LIGURIAN_GENOESE,pigEju,louse:6
37,louse,LIGURIAN_RAPALLO,pigEju,louse:6
38,louse,LIGURIAN_STELLA,pyEju,louse:6
39,louse,NEAPOLITAN_CALABRESE,p3ruky3,louse:7
40,louse,ROMANIAN,p3duke,louse:7
41,louse,ROMANIAN_2,paduke,louse:7
42,louse,ROMANSH_GRISHUN,pluL,louse:8
43,louse,ROMANSH_SURMIRAN,pluL,louse:8
44,louse,ROMANSH_SURSILVAN,pluL,louse:8
45,louse,ROMANSH_VALLADER,plwoL,louse:8
46,liver,ALBANIAN_GHEG,m3lCi,liver:0
47,liver,ALBANIAN,m3lCi,liver:0
48,liver,ALBANIAN_TOSK,m3lCi,liver:0
49,liver,ARAGONESE,figado,liver:1
50,liver,DALMATIAN,figuot,liver:1
51,liver,FRENCH,fa,liver:1
52,liver,FRIULIAN,fiat,liver:1
53,liver,GALICIAN,figado,liver:1
54,liver,JUDEO_ESPAGNOL,igado,liver:1
55,liver,LIGURIAN_RAPALLO,figEtu,liver:1
56,liver,NONES,fica,liver:1
57,liver,PORTUGUESE,fixa8u,liver:1
58,liver,ROMANIAN,fikat,liver:1
59,liver,ROMANIAN_2,fikat,liver:1
60,liver,SARDINIAN,figadu,liver:1
61,liver,SARDINIAN_CAMPIDANESE,figaw,liver:1
62,liver,SARDINIAN_LOGUDARESE,fikadu,liver:1
63,liver,SICILIAN_UnnamedInSource,fiCatu,liver:1
64,liver,SPANISH,igado,liver:1
65,liver,TURIA_AROMANIAN,layikat,liver:1
66,liver,CATALAN,fej3,liver:2
67,liver,CATALAN_2,fej3,liver:2
68,liver,LANGUEDOCIEN,feje,liver:2
69,liver,CORSICAN,fegatu,liver:3
70,liver,EMILIANO_FERRARESE,fEgat,liver:3
71,liver,ITALIAN,fegato,liver:3
72,liver,ITALIAN_GROSSETO_TUSCAN,fegato,liver:3
73,liver,LIGURIAN_GENOESE,fegatu,liver:3
74,liver,LIGURIAN_STELLA,fegatu,liver:3
75,liver,NEAPOLITAN_CALABRESE,fExat3,liver:3
76,liver,ROMAGNOL_RAVENNATE,fegat,liver:3
77,liver,EMILIANO_CARPIGIANO,fedeg,liver:4
78,liver,EMILIANO_REGGIANO,fedeg,liver:4
79,liver,GASCON,hiCe,liver:5
80,liver,LOMBARD_BERGAMO,fidek,liver:6
81,liver,LOMBARD_PLESIO,fidEk,liver:6
82,liver,NONES_GARDENESE,foSk,liver:6
83,liver,PIEMONTESE_BARBANIA,fidik,liver:6
84,liver,PIEMONTESE_CARMAGNOLA,fidik,liver:6
85,liver,PIEMONTESE_LANZO_TORINESE,fidik,liver:6
86,liver,PIEMONTESE_VERCELLESE,fidik,liver:6
87,liver,NONES_FASSANO,neygEr,liver:7
88,liver,ROMANIAN_MEGLENO,drop,liver:8
89,liver,ROMANSH_GRISHUN,5irom,liver:9
90,liver,ROMANSH_SURMIRAN,nirom,liver:9
91,liver,ROMANSH_VALLADER,53rom,liver:9
92,liver,ROMANSH_SURSILVAN,dir,liver:10
93,breast,ALBANIAN_GHEG,gji,breast:0
94,breast,ALBANIAN,kraharor,breast:1
95,breast,ALBANIAN_TOSK,Toks,breast:2
96,breast,ARAGONESE,peito,breast:3
97,breast,ASTURIAN,peCu,breast:3
98,breast,CATALAN,pit,breast:3
99,breast,CORSICAN,petu,breast:3
100,breast,DALMATIAN,piat,breast:3
101,breast,EMILIANO_CARPIGIANO,pEt,breast:3
102,breast,EMILIANO_FERRARESE,pEt,breast:3
103,breast,FRIULIAN,pet,breast:3
104,breast,GALICIAN,pEito,breast:3
