ID,Gloss,Language,Word,Cluster
0,louse:0,ALBANIAN_GHEG,mor,louse:0
1,louse:0,ALBANIAN,morr,louse:0
2,louse:0,ALBANIAN_TOSK,mor,louse:0
3,louse:1,ARAGONESE,pegoLo,louse:1
4,louse:2,ASTURIAN,pioyu,louse:1
5,louse:2,CORSICAN,pidoTu,louse:1
6,louse:4,DALMATIAN,pedoklo,louse:1
7,louse:8,FRIULIAN,pEdoli,louse:1
8,louse:9,GALICIAN,pioLo,louse:1
9,louse:4,ITALIAN,pidokko,louse:1
10,louse:4,ITALIAN_GROSSETO_TUSCAN,pidokyo,louse:1
11,louse:9,JUDEO_ESPAGNOL,pioxo,louse:1
12,louse:14,NONES,piocEl,louse:1
13,louse:2,PORTUGUESE,pioLu,louse:1
14,louse:2,ROMANIAN_MEGLENO,pidukLu,louse:1
15,louse:2,SARDINIAN,priogu,louse:1
16,louse:2,SARDINIAN_CAMPIDANESE,prioxu,louse:1
17,louse:21,SARDINIAN_LOGUDARESE,preuku,louse:1
18,louse:9,SPANISH,pioho,louse:1
19,louse:3,CATALAN,poL,louse:2
20,louse:3,CATALAN_2,poL,louse:2
21,louse:15,NONES_FASSANO,poye,louse:2
22,louse:16,NONES_GARDENESE,podl,louse:2
23,louse:5,EMILIANO_CARPIGIANO,pyoC,louse:3
24,louse:6,EMILIANO_FERRARESE,vdoC,louse:3
25,louse:5,EMILIANO_REGGIANO,pyoC,louse:3
26,louse:5,LOMBARD_BERGAMO,pyoC,louse:3
27,louse:5,LOMBARD_PLESIO,pyoC,louse:3
28,louse:5,PIEMONTESE_VERCELLESE,pyoC,louse:3
29,louse:6,ROMAGNOL_RAVENNATE,bdoC,louse:3
30,louse:7,FRENCH,pu,louse:4
31,louse:17,PIEMONTESE_BARBANIA,puy,louse:4
32,louse:17,PIEMONTESE_CARMAGNOLA,puy,louse:4
33,louse:17,PIEMONTESE_LANZO_TORINESE,puy,louse:4
34,louse:10,GASCON,pedui,louse:5
35,louse:11,LANGUEDOCIEN,pezul,louse:5
36,louse:12,LIGURIAN_GENOESE,pigEju,louse:6
37,louse:12,LIGURIAN_RAPALLO,pigEju,louse:6
38,louse:12,LIGURIAN_STELLA,pyEju,louse:6
39,louse:13,NEAPOLITAN_CALABRESE,p3ruky3,louse:7
40,louse:18,ROMANIAN,p3duke,louse:7
41,louse:18,ROMANIAN_2,paduke,louse:7
42,louse:19,ROMANSH_GRISHUN,pluL,louse:8
43,louse:19,ROMANSH_SURMIRAN,pluL,louse:8
44,louse:19,ROMANSH_SURSILVAN,pluL,louse:8
45,louse:20,ROMANSH_VALLADER,plwoL,louse:8
46,liver:0,ALBANIAN_GHEG,m3lCi,liver:0
47,liver:0,ALBANIAN,m3lCi,liver:0
48,liver:0,ALBANIAN_TOSK,m3lCi,liver:0
49,liver:1,ARAGONESE,figado,liver:1
50,liver:3,DALMATIAN,figuot,liver:1
51,liver:5,FRENCH,fa,liver:1
52,liver:3,FRIULIAN,fiat,liver:1
53,liver:1,GALICIAN,figado,liver:1
54,liver:1,JUDEO_ESPAGNOL,igado,liver:1
55,liver:3,LIGURIAN_RAPALLO,figEtu,liver:1
56,liver:1,NONES,fica,liver:1
57,liver:1,PORTUGUESE,fixa8u,liver:1
58,liver:1,ROMANIAN,fikat,liver:1
59,liver:1,ROMANIAN_2,fikat,liver:1
60,liver:1,SARDINIAN,figadu,liver:1
61,liver:1,SARDINIAN_CAMPIDANESE,figaw,liver:1
62,liver:1,SARDINIAN_LOGUDARESE,fikadu,liver:1
63,liver:3,SICILIAN_UnnamedInSource,fiCatu,liver:1
64,liver:1,SPANISH,igado,liver:1
65,liver:1,TURIA_AROMANIAN,layikat,liver:1
66,liver:2,CATALAN,fej3,liver:2
67,liver:2,CATALAN_2,fej3,liver:2
68,liver:2,LANGUEDOCIEN,feje,liver:2
69,liver:3,CORSICAN,fegatu,liver:3
70,liver:3,EMILIANO_FERRARESE,fEgat,liver:3
71,liver:3,ITALIAN,fegato,liver:3
72,liver:3,ITALIAN_GROSSETO_TUSCAN,fegato,liver:3
73,liver:3,LIGURIAN_GENOESE,fegatu,liver:3
74,liver:3,LIGURIAN_STELLA,fegatu,liver:3
75,liver:3,NEAPOLITAN_CALABRESE,fExat3,liver:3
76,liver:3,ROMAGNOL_RAVENNATE,fegat,liver:3
77,liver:4,EMILIANO_CARPIGIANO,fedeg,liver:4
78,liver:4,EMILIANO_REGGIANO,fedeg,liver:4
79,liver:6,GASCON,hiCe,liver:5
80,liver:7,LOMBARD_BERGAMO,fidek,liver:6
81,liver:7,LOMBARD_PLESIO,fidEk,liver:6
82,liver:9,NONES_GARDENESE,foSk,liver:6
83,liver:7,PIEMONTESE_BARBANIA,fidik,liver:6
84,liver:7,PIEMONTESE_CARMAGNOLA,fidik,liver:6
85,liver:7,PIEMONTESE_LANZO_TORINESE,fidik,liver:6
86,liver:7,PIEMONTESE_VERCELLESE,fidik,liver:6
87,liver:8,NONES_FASSANO,neygEr,liver:7
88,liver:10,ROMANIAN_MEGLENO,drop,liver:8
89,liver:11,ROMANSH_GRISHUN,5irom,liver:9
90,liver:11,ROMANSH_SURMIRAN,nirom,liver:9
91,liver:11,ROMANSH_VALLADER,53rom,liver:9
92,liver:12,ROMANSH_SURSILVAN,dir,liver:10
93,breast:0,ALBANIAN_GHEG,gji,breast:0
94,breast:1,ALBANIAN,kraharor,breast:1
95,breast:2,ALBANIAN_TOSK,Toks,breast:2
96,breast:3,ARAGONESE,peito,breast:3
97,breast:4,ASTURIAN,peCu,breast:3
98,breast:5,CATALAN,pit,breast:3
99,breast:4,CORSICAN,petu,breast:3
100,breast:5,DALMATIAN,piat,breast:3
101,breast:3,EMILIANO_CARPIGIANO,pEt,breast:3
102,breast:3,EMILIANO_FERRARESE,pEt,breast:3
103,breast:4,FRIULIAN,pet,breast:3
104,breast:3,GALICIAN,pEito,breast:3
105,breast:3,ITALIAN,pEtto,breast:3
106,breast:3,ITALIAN_GROSSETO_TUSCAN,pEto,breast:3
107,breast:9,JUDEO_ESPAGNOL,peCo,breast:3
108,breast:4,LIGURIAN_GENOESE,petu,breast:3
109,breast:3,LIGURIAN_STELLA,pEtu,breast:3
110,breast:4,NEAPOLITAN_CALABRESE,pyetE,breast:3
111,breast:4,NONES_FASSANO,pyet,breast:3
112,breast:4,NONES_GARDENESE,pyet,breast:3
113,breast:3,PIEMONTESE_BARBANIA,pEt,breast:3
114,breast:3,PIEMONTESE_LANZO_TORINESE,pEt,breast:3
115,breast:3,ROMAGNOL_RAVENNATE,pE3t,breast:3
116,breast:4,ROMANIAN,pept,breast:3
117,breast:4,ROMANIAN_MEGLENO,Ciept,breast:3
118,breast:3,ROMANSH_GRISHUN,pET,breast:3
119,breast:3,ROMANSH_SURMIRAN,pET,breast:3
120,breast:3,ROMANSH_SURSILVAN,pEc,breast:3
121,breast:4,ROMANSH_VALLADER,pet,breast:3
122,breast:4,SARDINIAN,petus,breast:3
123,breast:14,SARDINIAN_CAMPIDANESE,pitura,breast:3
124,breast:15,SARDINIAN_LOGUDARESE,petora,breast:3
125,breast:4,SICILIAN_UnnamedInSource,petu,breast:3
126,breast:9,SPANISH,peCo,breast:3
127,breast:17,VLACH,keptu,breast:3
128,breast:6,EMILIANO_REGGIANO,stom3g,breast:4
129,breast:6,LOMBARD_BERGAMO,stomEk,breast:4
130,breast:6,LOMBARD_PLESIO,StumEk,breast:4
