concept,Latin,reconstruction
I,ego,yo
blood,saNgw~is,saNg
bone,os,os
breast,"pektus, mama",pet
come,wenire,veni
die,mori,muri
dog,kanis,kan
drink,bibere,bEr3
ear,auris,ureLa
eye,okulus,oL
fire,iNnis,fok
fish,piskis,peS
full,plenus,plen
hand,manus,man
hear,audire,sentir
horn,kornu,korn3
knee,genu,ZnoL
leaf,foly~u*,foLa
liver,yekur,figat
louse,pedikulus,pidoko
mountain,mons,munta53
name,nomen,nom
new,nowus,nof
night,noks,not
nose,nasus,nas
one,unus,un
path,viya,strada
person,"persona, homo",om
see,widere,vedEr
skin,kutis,pel
star,stela,stela
stone,lapis,petra
sun,sol,sol
tongue,liNgw~E,leNga
tooth,dens,dEnt
tree,arbor,arbur
two,duo,dos
water,akw~a,aka
we,nos,nos
you,tu,tu
